Number of lines,Number of points,LiveFusion,Stream Fusion,Speedup
2,100000000,2342,7828,3.3
4,99999996,1638,5699,3.5
2,80000000,1926,6543,3.4
4,79999996,1330,4695,3.5
2,50000000,1209,4100,3.4
4,49999996,842,2932,3.5
2,40000000,965,3253,3.4
4,39999996,680,2337,3.4
8,36333924,720,2161,3
2,30000000,739,2445,3.3
4,29999996,504,1770,3.5
8,29062922,615,1433,2.3
2,20000000,477,1599,3.4
4,19999996,327,1147,3.5
8,18163954,382,897,2.3
8,14526984,307,728,2.4
8,10895794,226,544,2.4
16,9971928,157,508,3.2
16,7979704,124,394,3.2
8,7260732,145,362,2.5
16,4988482,79,256,3.2
16,3989894,62,196,3.2
16,2992208,47,155,3.3
32,2550344,39,126,3.2
32,2040956,32,102,3.2
16,1994078,36,106,2.9
32,1275378,19,73,3.8
32,1020092,16,53,3.3
32,764138,12,40,3.3
64,643906,14,43,3.1
64,514694,8,28,3.5
32,508870,9,27,3
64,322464,5,18,3.6
64,257710,4,15,3.8
64,193086,3,11,3.7
128,161482,2,10,5
128,129112,2,8,4
64,128766,4,8,2
128,81172,1,5,5
128,65086,1,5,5
